"Reference","Qty","Value","Footprint","Manufacturer","Manufacturer Part Number","Distributor Link"
"C7","1","0.1 uF","Capacitor_SMD:C_0201_0603Metric","","",""
"C8","1","1 uF","Capacitor_SMD:C_0201_0603Metric","","",""
"FB1","1","FerriteBead","Inductor_SMD:L_0201_0603Metric","","",""
"R_SCL?,R_SDA?","2","4.7k","Resistor_SMD:R_0201_0603Metric","","",""
"U3","1","LSM6DS3","Package_LGA:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y","","",""
"[1]J1","1","USB_C_Receptacle_USB2.0_16P","","","",""
"[1]U1","1","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","","",""
"[1]U4","1","MIC5365-3.3YD5","Package_TO_SOT_SMD:TSOT-23-5","","",""
"[2]C1","1","4.7u","Capacitor_SMD:C_0201_0603Metric","","",""
"[2]C15","1","0.3p","Capacitor_SMD:C_0201_0603Metric","","",""
"[2]FLT1","1","DLF162500LT-5028A1","Position_and_Motion_Monitor:DLF162500LT-5028A1","","",""
"[2]J2","1","Conn_Coaxial","","","",""
"[2]U2","1","STM32WB55CEUx","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","","",""
"[2]X1","1","32kHz768","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm","NDK","NX2012SA-32.768K-STD-MUB-1","https://www.mouser.co.uk/ProductDetail/NDK/NX2012SA-32.768K-STD-MUB-1?qs=55YtniHzbhA%252B6%2Fl1MwFZaQ%3D%3D&srsltid=AfmBOopznHufl5hyM-MF-23Z15xsDW3jq94HPpJRsVoZvblqJ27_ZQkh"
"[2]X2","1","32MHz","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","NDK","NX2016SA-32M-EXS00A-CS06465","https://www.mouser.co.uk/ProductDetail/NDK/NX2016SA-32M-EXS00A-CS06465?qs=w%2Fv1CP2dgqr82b0JjRnv4A%3D%3D&srsltid=AfmBOorRiq1Q_JkjyNwWmdKFdYggkbunFekTyQW5U_DiDg3BbKzRU1OW"
"[4]D1","1","LED_RGB","","","",""
"[6]J2","1","Conn_01x04_Pin","Connector:FanPinHeader_1x04_P2.54mm_Vertical","","",""
